Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/category/quad,"3,332","2,407",0:01:00,602,34.39%,24.46%,$0.00 
/2020/07/26/ucla-assigns-default-financial-aid-housing-status-to-some-students-without-notice,"3,241","3,053",0:03:11,"2,764",90.09%,85.59%,$0.00 
/2020/06/01/westwood-protest-continues-despite-cancellation-police-detain-at-least-10,"3,185","2,964",0:03:25,"2,387",87.10%,80.03%,$0.00 
/2017/04/04/brown-and-bothered-henna-appropriation-cherry-picks-beauty-while-ignoring-people-culture,"3,141","3,003",0:06:54,"3,000",95.37%,95.07%,$0.00 
/2020/07/01/christon-chronicles-a-breakdown-of-which-apparel-sponsor-would-best-suit-ucla-athletics,"3,118","2,959",0:05:04,"2,736",90.53%,87.81%,$0.00 
/2020/08/29/ucla-researcher-charged-with-destroying-evidence-related-to-federal-investigation,"3,078","2,888",0:02:58,"2,606",92.82%,86.94%,$0.00 
/2020/08/03/art-student-draws-from-memories-emotions-to-create-surreal-landscapes-and-portraits,"3,076","2,901",0:01:46,"2,856",93.87%,92.56%,$0.00 
/2003/10/06/gymnastics-beckerman-questions,"3,007","2,895",0:03:46,"2,825",90.12%,90.02%,$0.00 
/2020/06/01/revised-california-budget-proposal-to-cut-uc-funding-by-up-to-372m,"2,831","2,669",0:03:58,"2,515",88.75%,86.58%,$0.00 
/2020/08/10/book-review-midnight-sun-fails-to-eclipse-problematic-points-of-past-twilight-novels,"2,812","2,703",0:05:21,"2,645",92.78%,92.07%,$0.00 
/2017/05/03/the-quad-understanding-asian-glow-and-how-to-counteract-it,"2,773","2,666",0:07:56,"2,665",96.14%,95.82%,$0.00 
/2020/09/18/ucla-to-likely-not-fully-reopen-until-effective-covid-19-treatment-is-available,"2,768","2,468",0:03:16,"1,702",82.02%,71.50%,$0.00 
/2020/06/03/editorial-uclas-deafening-silence-on-black-lives-matter-movement-sanctions-complicity-hurts-bruins,"2,755","2,505",0:03:14,"1,959",81.42%,75.57%,$0.00 
/2020/07/17/ucla-school-of-law-holds-contracts-with-companies-selling-personal-data-to-ice,"2,626","2,450",0:03:38,"2,183",91.11%,85.30%,$0.00 
/2011/08/22/summer_break_should_be_a_time_for_students_to_chill_not_burn_out,"2,625","2,318",0:06:12,"2,312",88.71%,87.62%,$0.00 
/2020/06/01/usac-leadership-requests-immediate-removal-of-national-guard-from-ucla-area,"2,613","2,457",0:03:01,"2,162",87.65%,82.13%,$0.00 
/2020/07/17/album-review-oliver-tree-proves-hes-more-than-a-meme-in-eccentric-debut-album-ugly-is-beautiful,"2,546","2,456",0:04:15,"2,425",95.63%,94.70%,$0.00 
/2020/07/13/students-struggle-to-find-housing-in-westwood-for-fall-quarter-amid-pandemic,"2,537","2,388",0:03:37,"2,084",88.87%,83.17%,$0.00 
/2019/02/19/the-quad-negative-effects-of-racism-discrimination-on-mental-health,"2,394","2,209",0:05:56,"2,176",92.00%,91.14%,$0.00 
/2020/07/06/nwwnc-votes-to-rename-le-conte-avenue-citing-namesakes-racist-past,"2,394","2,235",0:03:31,"1,728",88.77%,79.20%,$0.00 
/2019/10/23/researchers-find-potential-new-treatment-for-chronic-myeloid-leukemia,"2,260","2,048",0:04:02,"2,025",90.67%,89.42%,$0.00 
/staff,"2,211","1,803",0:01:55,625,63.84%,50.43%,$0.00 
/2020/08/31/former-ucla-soccer-standout-secures-new-spotlight-in-successful-esports-youtube-channel,"2,135","2,021",0:05:12,"1,953",94.06%,92.27%,$0.00 
/contact,"2,114","1,809",0:01:46,615,66.50%,55.58%,$0.00 
/2020/08/05/ucla-uc-consider-cutting-2-scholarships-connected-with-confederate-heritage-group,"2,054","1,962",0:02:48,"1,839",93.64%,90.70%,$0.00 
/2020/08/03/former-ucla-doctor-james-heaps-now-faces-20-felony-sexual-misconduct-charges,"2,045","1,837",0:04:04,"1,698",81.74%,78.39%,$0.00 
/2020/06/25/ucla-to-create-new-black-resource-center-in-major-step-for-black-student-community,"2,027","1,883",0:02:30,"1,643",86.91%,80.61%,$0.00 
/2020/07/24/ucla-housing-to-offer-only-single-occupancy-rooms-on-the-hill-for-fall-quarter,"1,999","1,856",0:02:45,"1,588",78.34%,72.29%,$0.00 
/2020/09/17/university-may-not-operate-normally-for-at-least-a-year-says-uc-health-official,"1,981","1,824",0:03:04,"1,550",85.35%,80.21%,$0.00 
/2020/05/13/ucla-tells-faculty-to-prepare-for-remote-fall-quarter-official-plans-unannounced,"1,954","1,841",0:01:47,"1,566",78.42%,74.87%,$0.00 
/2020/07/20/university-apartment-tenants-organize-rent-strike-call-on-ucla-for-financial-relief,"1,858","1,748",0:03:15,"1,453",88.02%,80.09%,$0.00 
/2020/08/03/postdoctoral-fellow-left-ucla-following-tweeted-allegations-of-sexual-harassment,"1,786","1,606",0:04:43,"1,513",87.24%,83.71%,$0.00 
/2020/10/09/at-least-three-cases-of-covid-19-reported-in-students-living-on-the-hill,"1,761","1,640",0:02:44,"1,469",88.97%,84.27%,$0.00 
/2019/11/14/north-korean-refugees-share-stories-of-escape-and-freedom,"1,719","1,645",0:04:18,"1,626",95.02%,94.18%,$0.00 
/2018/05/13/engineering-alumnus-drags-self-out-of-lab-and-onto-rupauls-drag-race,"1,700","1,633",0:05:29,"1,627",95.82%,95.65%,$0.00 
/2020/07/07/changes-to-ncaa-name-image-and-likeness-policy-could-allow-revival-of-video-games,"1,654","1,557",0:04:29,"1,481",92.23%,89.36%,$0.00 
/2019/06/08/latino-representation-in-film-remains-limited-despite-history-of-inclusion,"1,641","1,546",0:05:46,"1,537",93.88%,93.42%,$0.00 
/2020/08/21/album-review-lecrae-chronicles-his-winding-spiritual-path-in-latest-album-restoration,"1,623","1,511",0:05:13,"1,488",91.47%,89.90%,$0.00 
/2020/10/23/usac-calls-for-creation-of-safe-parking-space-for-students-to-sleep-in-cars,"1,618","1,536",0:03:27,"1,423",92.41%,88.75%,$0.00 
/2020/08/27/lily-shaws-inclusive-inspirational-leadership-leaves-lasting-impact-on-community,"1,596","1,464",0:04:38,"1,258",87.92%,81.08%,$0.00 
/2020/07/10/album-review-quinn-xciis-risks-pay-off-in-self-reflective-and-exploratory-3rd-studio-album,"1,569","1,481",0:05:37,"1,445",93.49%,91.78%,$0.00 
/2020/03/26/students-may-take-multiple-pass-no-pass-classes-in-the-spring-in-light-of-covid-19,"1,564","1,492",0:03:25,"1,458",89.92%,89.39%,$0.00 
/2016/01/04/book-review-wuthering-heights,"1,563","1,389",0:07:22,"1,384",89.96%,87.84%,$0.00 
/2019/01/17/david-geffen-school-of-medicine-raises-admission-standards-incites-controversy,"1,550","1,483",0:04:37,"1,373",95.41%,93.87%,$0.00 
/2020/09/01/judge-issues-preliminary-injunction-to-bar-sat-act-scores-in-uc-admissions,"1,545","1,423",0:03:18,"1,206",88.97%,81.62%,$0.00 
/2020/10/21/new-coupon-code-provides-ucla-community-with-discounts-at-12-westwood-eateries,"1,522","1,447",0:02:48,"1,148",91.03%,81.14%,$0.00 
/2020/08/23/ladwp-contains-water-main-burst-limits-flooding-to-ucla-structures,"1,518","1,428",0:02:21,"1,269",90.31%,85.44%,$0.00 
/2019/11/17/womens-volleyball-sweeps-california-falls-to-stanford-over-weekend,"1,497","1,226",0:01:05,"1,225",83.76%,81.23%,$0.00 
/2020/07/05/ucla-school-of-dentistry-fails-to-implement-many-covid-19-mitigating-practices?fbclid=IwAR1MRyfeKeV0kaHGI3QQthJwF86mudFUuGsoxJDgAb5FkMNXRVO6hW32p2o,"1,465","1,406",0:06:13,"1,406",95.80%,95.43%,$0.00 
/2020/08/26/ucla-files-lawsuit-against-under-armour-for-breaking-280-million-contract,"1,445","1,349",0:02:55,967,86.45%,73.91%,$0.00 
/category/infocus,"1,435",951,0:01:00,160,43.75%,23.41%,$0.00 
/2020/06/10/students-directly-affected-by-covid-19-share-their-stories-on-impact-of-disease,"1,411","1,234",0:04:41,"1,121",85.82%,80.51%,$0.00 
/2020/08/03/ucla-to-decrease-amount-of-in-person-classes-offered-fall-2020-revising-june-plans,"1,406","1,318",0:02:46,957,85.28%,73.47%,$0.00 
/2020/06/04/hundreds-gather-at-ucla-to-protest-police-brutality-racial-injustice,"1,405","1,316",0:02:46,883,85.73%,71.10%,$0.00 
/2020/06/19/ucla-implements-covid-19-symptom-monitoring-survey-for-students-and-staff,"1,403","1,294",0:02:22,"1,078",85.16%,78.90%,$0.00 
/2020/08/24/the-quad-exploring-the-significance-of-ethnic-markets-as-99-ranch-market-comes-to-westwood,"1,394","1,308",0:03:16,"1,149",92.34%,86.66%,$0.00 
/2009/11/09/westwood-meets-italian-style,"1,386","1,329",0:05:00,"1,326",95.70%,95.31%,$0.00 
/features/prime-diy-graduation-cap,"1,385","1,131",0:01:14,"1,129",82.64%,81.52%,$0.00 
/2020/05/27/dentistry-professor-sues-uc-for-alleged-retaliation-following-title-ix-testimony,"1,378","1,205",0:04:10,917,78.52%,71.92%,$0.00 
/2020/09/05/jacks-facts-ucla-is-taking-too-great-a-risk-in-pursuing-lawsuit-against-under-armour,"1,370","1,321",0:03:18,"1,198",90.82%,87.45%,$0.00 
/2020/05/14/lack-of-transparency-on-fall-quarter-plans-hinders-students-ability-to-plan-ahead,"1,326","1,249",0:03:27,"1,049",75.98%,74.96%,$0.00 
/2020/09/16/33-year-old-man-arrested-after-he-allegedly-peered-into-hill-residents-window,"1,315","1,272",0:02:19,"1,228",95.28%,92.55%,$0.00 
/2018/10/31/spook-city-the-comedy-store-not-so-fearsome-despite-being-haunted-by-tragedy,"1,313","1,259",0:05:52,"1,257",95.62%,95.05%,$0.00 
/2020/07/06/qa-ucla-alumni-discuss-competing-on-hit-netflix-show-floor-is-lava,"1,309","1,232",0:03:28,"1,168",92.72%,90.68%,$0.00 
/2010/10/15/the_origins_of_another_one_bites_the_dust_,"1,300","1,248",0:07:32,"1,248",95.99%,95.77%,$0.00 
/2020/05/25/book-review-the-hunger-games-prequel-pays-tribute-to-saga-leaving-main-character-static,"1,300","1,250",0:06:07,"1,173",94.80%,93.15%,$0.00 
/2020/10/06/students-professors-report-multiple-incidents-of-zoombombing-in-one-day,"1,282","1,195",0:03:18,914,88.18%,78.55%,$0.00 
/2020/07/27/after-20-years-of-business-in-ackerman-union-campus-cuts-is-closing-its-doors,"1,278","1,239",0:03:26,"1,134",91.18%,87.25%,$0.00 
/2011/03/18/alexandra_wallace_apologizes_announces_she_will_no_longer_attend_ucla,"1,273","1,215",0:03:09,"1,202",93.84%,93.17%,$0.00 
/2020/07/08/uc-announces-plan-to-sue-federal-government-in-response-to-recent-sevp-regulations,"1,267","1,158",0:03:17,"1,017",84.86%,80.11%,$0.00 
/2020/06/24/union-holds-protests-at-uc-medical-centers-in-response-to-recent-layoff-notices,"1,256","1,154",0:04:10,985,86.50%,79.86%,$0.00 
/2020/09/13/ucla-named-top-public-university-by-us-news-and-world-report-for-fourth-time-in-a-row,"1,252","1,141",0:02:07,909,87.90%,77.56%,$0.00 
/2020/08/21/ucla-to-switch-to-remote-only-instruction-for-fall-further-reduce-on-campus-housing,"1,247","1,155",0:03:36,808,85.64%,74.98%,$0.00 
/2020/09/22/state-audit-finds-64-students-inappropriately-admitted-to-uc-between-2013-and-2019,"1,234","1,151",0:03:45,802,85.54%,74.31%,$0.00 
/2020/05/28/student-diagnosed-with-first-confirmed-case-of-covid-19-on-the-hill,"1,227","1,169",0:01:34,942,75.05%,68.38%,$0.00 
/2017/07/09/incoming-freshman-evolved-from-televised-competitive-dance-to-hip-hop,"1,189","1,148",0:06:10,"1,148",95.82%,95.71%,$0.00 
/2020/09/22/ucla-becomes-first-uc-to-offer-interdisciplinary-pilipino-studies-minor,"1,180","1,075",0:04:01,"1,010",90.00%,85.76%,$0.00 
/2019/07/29/uc-admits-largest-freshman-and-transfer-classes-as-ucla-acceptance-rate-falls-to-14,"1,168","1,108",0:02:57,789,89.61%,82.28%,$0.00 
/2020/08/12/primos-donuts-to-fill-westwood-vacancy-after-stans-donuts-closure,"1,163","1,088",0:02:51,839,82.60%,72.91%,$0.00 
/2018/11/19/she-ra-characters-remodeled-to-promote-inclusivity-diversity-in-tv-industry,"1,149","1,093",0:04:41,"1,090",94.68%,94.17%,$0.00 
/2018/02/26/ucla-student-dies-after-fall-from-tiverton-avenue-building,"1,142","1,081",0:02:11,965,71.81%,70.67%,$0.00 
/2020/06/08/asian-american-students-report-acts-of-racism-during-covid-19-pandemic,"1,134","1,091",0:03:41,998,92.28%,88.18%,$0.00 
/2020/06/21/the-quad-understanding-what-qualified-immunity-is-why-people-are-calling-for-reform,"1,122","1,087",0:03:00,"1,014",96.94%,92.60%,$0.00 
/2019/02/27/cooking-with-chemistry-understanding-how-your-pots-stoves-handle-heat-in-your-kitchen,"1,109","1,021",0:06:08,"1,014",92.60%,91.16%,$0.00 
/2020/07/23/students-file-lawsuit-against-uc-for-test-optional-standardized-test-policy,"1,102","1,030",0:03:16,877,90.54%,83.21%,$0.00 
/2020/06/29/second-take-hip-hop-artists-take-on-activist-roles-in-blm-movement-through-musical-commentary-protest,"1,096","1,003",0:06:07,947,89.86%,86.68%,$0.00 
/2019/02/20/hike-of-gpa-mcat-requirements-in-medical-school-admissions-prevents-diversity,"1,085","1,047",0:03:07,"1,029",87.07%,86.73%,$0.00 
/2020/07/14/federal-government-rescinds-sevp-policy-changes-for-international-students,"1,064",987,0:02:57,859,90.57%,83.65%,$0.00 
/2020/09/26/ucla-reinstates-accounting-lecturer-previously-on-leave-for-controversial-email,"1,041",965,0:03:43,702,88.03%,75.98%,$0.00 
/2020/04/14/ucs-test-optional-policy-for-2021-applicants-invites-bias-into-admissions-process,"1,040","1,008",0:03:05,961,94.48%,92.69%,$0.00 
/2020/04/28/ucla-announces-aim-to-offer-remote-instruction-option-for-fall-quarter,"1,040",976,0:01:41,622,77.17%,69.42%,$0.00 
/category/cartoons,"1,036",782,0:01:26,99,64.65%,31.27%,$0.00 
/2017/02/12/graphic-finding-the-perfect-match-for-your-wine,"1,027",935,0:02:45,934,91.01%,90.26%,$0.00 
/2020/06/05/california-to-allow-qualifying-counties-to-open-schools-bars-gyms,"1,014",967,0:01:59,888,90.54%,87.18%,$0.00 
/2017/03/02/the-quad-a-review-of-beyond-burgers-bloody-meat-free-patty,"1,008",960,0:05:16,960,94.79%,94.64%,$0.00 
/2019/01/17/throwback-thursday-fifty-year-anniversary-of-bunchy-carter-john-huggins-shooting,"1,003",946,0:07:14,895,89.05%,88.04%,$0.00 
/2020/10/26/lacdph-classifies-cluster-of-covid-19-cases-on-the-hill-as-an-outbreak,999,925,0:02:35,704,86.65%,77.88%,$0.00 
/2020/02/23/student-short-film-explores-unifying-desperation-of-waiting-in-line-for-the-bathroom,988,897,0:03:01,883,91.62%,89.37%,$0.00 
/2014/02/04/veteran-draws-on-personal-experience-in-teaching-gay-rights-research,985,941,0:05:13,905,91.60%,91.17%,$0.00 
/2020/10/11/department-of-film-tv-and-digital-media-suspends-fall-2021-graduate-applications,984,922,0:02:49,752,90.29%,81.30%,$0.00 
/2019/07/28/uc-african-american-admissions-pale-in-comparison-to-national-population-percentage,982,924,0:04:56,903,92.25%,90.63%,$0.00 
/2020/10/08/ucla-reports-highest-covid-19-related-financial-losses-out-of-all-uc-campuses,980,905,0:02:59,773,81.11%,74.69%,$0.00 
/2020/07/24/album-review-logic-ends-rap-career-with-proud-reflections-on-past-and-future-in-no-pressure,970,923,0:04:33,881,93.64%,91.75%,$0.00 
/category/graphics,960,718,0:01:19,137,64.96%,29.69%,$0.00 
/2020/08/01/pac-12-football-players-considering-boycott-to-address-issues-with-plan-for-season,950,879,0:02:39,679,89.54%,76.95%,$0.00 
/2010/09/19/quarter_system_better_for_students_and_faculty,946,915,0:07:28,902,95.34%,94.93%,$0.00 
/2020/06/15/uc-board-of-regents-unanimously-votes-in-support-of-restoring-affirmative-action,945,880,0:03:25,759,89.06%,81.59%,$0.00 
/2020/06/21/op-ed-ucla-must-take-action-to-address-academic-inequities-relating-to-pandemic-racism,941,890,0:02:38,744,90.05%,83.21%,$0.00 
/2020/04/24/uc-and-ucla-leadership-in-discussion-regarding-fall-quarter-plans,940,904,0:01:38,488,79.51%,69.36%,$0.00 
/2020/06/10/pandemic-forces-incoming-students-to-alter-their-expectations-of-college-life,939,887,0:03:33,806,91.19%,85.73%,$0.00 
/tag/2020-racial-injustice-protests,937,783,0:01:13,127,62.99%,40.55%,$0.00 
/2020/08/03/glove-developed-by-ucla-researchers-translates-american-sign-language-to-speech,926,865,0:02:39,752,93.22%,84.45%,$0.00 
/2020/08/05/la-will-shut-off-water-power-of-properties-hosting-large-gatherings-starting-friday,921,853,0:02:42,789,91.00%,85.12%,$0.00 
/2020/08/18/the-quad-weighing-the-pros-and-cons-of-on-campus-versus-off-campus-living-this-fall,919,887,0:03:14,689,89.99%,79.54%,$0.00 
/2020/04/09/ucla-must-adjust-tuition-student-fees-to-match-the-quality-of-online-instruction,918,879,0:03:43,832,89.06%,87.47%,$0.00 
/2020/08/05/at-least-8-ucla-football-players-reported-to-test-positive-for-coronavirus,890,817,0:03:45,644,86.96%,79.78%,$0.00 
/2020/10/14/ucla-unveils-campuswide-slack-allowing-students-to-connect-through-new-channels,885,817,0:03:32,621,85.35%,77.18%,$0.00 
/2020/07/27/ucla-lecturers-and-other-nontenure-faculty-face-low-wages-and-job-insecurity,884,831,0:04:39,604,88.41%,77.60%,$0.00 
/2020/08/07/uc-to-require-influenza-immunization-for-students-and-staff-in-the-fall,866,813,0:02:20,628,89.01%,79.33%,$0.00 
/category/spectrum,866,663,0:00:58,221,81.00%,34.76%,$0.00 
/2020/09/04/ucpd-arrests-2-individuals-in-connection-to-recent-westwood-burglaries,853,802,0:01:31,602,86.71%,73.15%,$0.00 
/2017/04/24/a-taste-for-adventure-escargot-defies-expectations-with-melt-in-mouth-texture,849,822,0:07:05,820,96.46%,96.58%,$0.00 
/2020/01/21/restaurant-review-sip-matchas-rebranding-as-junbi-brings-comfort-options-to-westwood,833,798,0:02:59,794,95.59%,94.48%,$0.00 
/2020/06/23/ucla-student-hopes-to-make-change-after-losing-father-to-coronavirus,826,778,0:03:23,662,91.84%,85.11%,$0.00 
/2020/10/01/protesters-march-down-westwood-boulevard-call-for-removal-of-police-from-campuses,821,754,0:03:27,563,85.79%,74.67%,$0.00 
/2020/05/27/the-quad-examining-what-human-trafficking-is-misconceptions-surrounding-it,820,762,0:05:17,741,91.77%,90.12%,$0.00 
/2020/10/09/ucla-to-offer-free-covid-19-tests-to-all-students-at-ashe-center,818,759,0:03:17,600,86.67%,78.12%,$0.00 
/2020/04/06/students-professors-adjust-to-different-time-zones-with-online-instruction,813,762,0:05:12,741,93.79%,91.14%,$0.00 
/2020/02/28/recent-rewinds-live-action-mulan-sacrifices-mushu-and-music-for-cultural-accuracy-realism,812,786,0:06:11,776,95.88%,95.69%,$0.00 
/2017/10/16/jacqueline-alvarez-ucla-should-offer-a-traditional-business-curriculum-for-undergraduates,810,778,0:08:02,774,95.35%,94.20%,$0.00 
/2020/02/27/ucs-termination-of-elsevier-contract-has-had-limited-negative-impact,809,761,0:03:43,723,88.11%,87.89%,$0.00 
/2007/04/15/ibets_editing_butchers_wire_story_linei,806,769,0:05:16,767,95.18%,95.04%,$0.00 
/2020/05/31/national-guard-troops-to-be-deployed-in-la-in-response-to-protests,801,746,0:02:14,585,80.85%,73.28%,$0.00 
/category/interactive-page,801,568,0:01:04,82,68.29%,35.83%,$0.00 
/2020/05/28/akshay-anand-embraces-innovation-of-online-format-to-craft-emotional-solo-video,797,776,0:01:06,735,80.82%,79.55%,$0.00 
/2020/07/07/news-newucpresidentbreaking,797,747,0:03:22,615,90.41%,82.18%,$0.00 
/about,795,740,0:01:26,136,52.94%,37.61%,$0.00 
/2019/05/20/letter-to-the-editor-public-perception-of-predictive-policing-is-wrong-it-can-help-reduce-crime,787,725,0:03:44,702,80.20%,78.40%,$0.00 
/2020/08/11/ucla-study-reveals-demographics-with-highest-covid-19-case-and-death-rates-in-la,787,754,0:01:55,606,90.43%,82.59%,$0.00 
/2020/06/27/trumps-proclamation-may-bar-chinese-students-and-researchers-from-studying-in-u-s,784,709,0:03:38,599,90.15%,80.74%,$0.00 
/2020/05/26/amended-la-stay-at-home-orders-include-reopenings-mandated-face-coverings-outside,780,748,0:02:18,714,94.26%,91.54%,$0.00 
/2020/07/24/new-ice-policy-restricts-incoming-international-students-taking-from-entering-us,779,692,0:02:56,541,84.10%,74.45%,$0.00 
/2020/04/23/graduate-schools-prospective-students-adjust-to-lack-of-in-person-admissions-tests,778,749,0:02:46,708,91.53%,90.23%,$0.00 
/2003/10/09/gymnastics-team-supports-becke,777,749,0:02:57,578,85.64%,87.52%,$0.00 
/2017/10/16/the-quad-breaking-down-the-admission-statistics-of-the-ucla-class-of-2021,771,744,0:02:38,723,94.47%,93.39%,$0.00 
/2019/03/05/standardized-test-scores-are-a-necessary-assessment-to-equalize-uc-admissions,763,681,0:06:44,658,88.60%,86.50%,$0.00 
/2020/06/10/ucla-gymnasts-use-social-media-to-speak-out-support-black-lives-matter-movement,761,718,0:02:17,658,93.47%,87.25%,$0.00 
/2020/06/01/gallery-protesters-gather-in-westwood-to-speak-out-against-racial-injustice,760,705,0:02:42,459,88.02%,69.21%,$0.00 
/2020/06/20/ucla-athletes-given-four-phase-plan-for-returning-to-training-in-westwood,753,709,0:03:11,529,90.36%,76.76%,$0.00 
/2020/08/06/petition-to-rename-campbell-hall-for-black-panthers-killed-in-1960s-gains-support,751,686,0:03:13,569,88.22%,78.43%,$0.00 
/2020/06/10/brush-fire-breaks-out-near-getty-center-drive-no-evacuation-orders-issued,749,654,0:04:52,578,85.81%,77.97%,$0.00 
/2020/07/06/editorial-ucla-must-divest-from-ucpd-lapd-to-stop-perpetuating-problematic-systems,749,707,0:02:57,586,86.86%,81.31%,$0.00 
/2019/04/30/hiros-table-documents-establishment-of-authentic-japanese-restaurant-in-la,742,678,0:04:57,678,91.00%,90.57%,$0.00 
/2018/07/30/the-quad-recommendations-for-running-routes-in-westwood-and-west-la,739,673,0:05:05,671,89.27%,89.31%,$0.00 
/2017/11/30/throwback-thursday-arthur-ashes-aids-admission-and-the-implications-of-his-unwillingness,736,716,0:05:10,715,96.92%,97.01%,$0.00 
/2020/01/21/exclusion-of-black-lives-matter-at-womens-march-la-sacrifices-representation,728,691,0:04:24,678,94.69%,92.99%,$0.00 
/2020/01/28/medical-student-remembered-for-compassion-positivity,728,704,0:04:03,670,94.04%,92.72%,$0.00 
/2020/06/01/editorial-board-qa-with-afrikan-student-union-talks-protesting-allyship-at-ucla,725,649,0:05:01,459,83.66%,70.48%,$0.00 
/category/campus,724,596,0:01:05,114,54.39%,28.73%,$0.00 
/2020/05/12/company-created-by-alumni-uses-self-driving-robots-to-deliver-products-in-pandemic,720,668,0:04:20,642,90.34%,88.89%,$0.00 
/2020/04/13/all-summer-2020-ucla-orientation-programs-to-be-held-online,718,673,0:02:39,646,81.58%,80.78%,$0.00 
/2020/10/28/ucla-football-player-steven-mason-indefinitely-suspended-after-arrest,707,670,0:03:04,555,84.50%,78.08%,$0.00 
/2020/06/27/protesters-outside-councilmember-koretzs-house-criticize-his-vote-on-police-budget,701,619,0:04:00,525,84.76%,78.03%,$0.00 
/category/enterprise,701,517,0:01:23,93,49.46%,27.10%,$0.00 
/category/illo,700,541,0:00:50,40,50.00%,18.14%,$0.00 
/2020/09/18/violations-of-ucla-public-health-measures-could-result-in-suspension-expulsion,689,621,0:02:46,347,75.50%,62.84%,$0.00 
/2019/03/17/student-captures-candid-moments-through-creative-videography-for-shawn-mendes-tour,682,641,0:05:32,632,89.72%,89.00%,$0.00 
