Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/04/01/total-confirmed-ucla-covid-19-cases-reach-9-after-2-more-students-test-positive/,"1,400","1,302",0:01:49,"1,029",84.94%,76.00%,$0.00
/2020/03/31/the-quad-sharing-some-good-news-amid-the-coronavirus-pandemic/,"1,388","1,293",0:03:26,"1,208",94.37%,88.54%,$0.00
/2020/03/12/ucla-cardiologist-accused-of-sexual-assault-should-have-license-revoked-says-judge/,"1,376","1,278",0:02:38,"1,141",88.17%,82.99%,$0.00
/2020/02/07/ucla-sees-drop-in-freshman-but-increase-in-transfer-applications/,"1,336","1,250",0:02:32,"1,156",87.28%,85.55%,$0.00
/2020/04/02/uc-announces-commitment-to-not-layoff-career-employees-because-of-covid-19-outbreak/,"1,313","1,212",0:03:48,"1,116",90.41%,84.84%,$0.00
/2020/05/14/ucla-football-gains-third-class-of-2021-commit-in-4-star-recruit-devin-kirkwood/,"1,266","1,213",0:02:22,"1,091",93.58%,87.91%,$0.00
/2020/05/25/book-review-the-hunger-games-prequel-pays-tribute-to-saga-leaving-main-character-static/,"1,246","1,203",0:03:44,"1,182",94.75%,93.90%,$0.00
/2020/05/12/columns-from-quarantine-with-four-year-timeline-gone-maybe-a-shortened-college-experience-can-be-enough/,"1,226","1,004",0:05:12,966,88.30%,78.06%,$0.00
/2020/05/27/scouting-report-johnny-juzang/,"1,224","1,114",0:03:35,"1,038",93.55%,87.99%,$0.00
/2020/01/30/natalie-chou-carries-on-basketball-tradition-passed-on-from-her-mother/,"1,221","1,160",0:04:39,"1,136",93.49%,92.47%,$0.00
/2020/03/26/number-of-covid-19-cases-in-ucla-community-reaches-5-as-staff-member-tests-positive/,"1,215","1,122",0:01:51,919,83.90%,76.21%,$0.00
/2020/05/29/battle-of-the-editors-running-the-numbers-to-create-best-team-of-mens-basketball-legends/,"1,208","1,104",0:03:53,"1,076",91.08%,88.08%,$0.00
/2020/05/14/lack-of-transparency-on-fall-quarter-plans-hinders-students-ability-to-plan-ahead,"1,207","1,130",0:03:24,982,75.15%,75.23%,$0.00
/2020/04/23/graduate-schools-prospective-students-adjust-to-lack-of-in-person-admissions-tests/,"1,184","1,135",0:02:51,938,92.75%,84.63%,$0.00
/2020/04/16/the-quad-tickle-your-tastebuds-with-these-viral-tiktok-cooking-trends/,"1,169","1,115",0:04:29,"1,055",94.12%,91.27%,$0.00
/2020/06/10/students-directly-affected-by-covid-19-share-their-stories-on-impact-of-disease,"1,158","1,004",0:05:24,950,86.00%,82.38%,$0.00
/2020/04/01/the-quad-ways-to-help-support-small-businesses-impacted-by-covid-19/,"1,157","1,080",0:02:27,864,89.00%,81.07%,$0.00
/2020/05/25/letter-to-the-editor-daily-bruin-editorial-board-fails-to-appropriately-evaluate-cub-referendum/,"1,155",928,0:02:26,844,68.01%,61.47%,$0.00
/2020/05/20/ncaa-approves-football-basketball-student-athletes-return-to-campus-starting-june-1/,"1,152","1,094",0:03:13,963,93.15%,87.33%,$0.00
/2020/05/01/usac-candidates-discuss-referendums-use-of-student-fees-in-online-debate/,"1,147","1,055",0:02:58,506,81.82%,61.29%,$0.00
/2020/04/21/killing-eve-season-3-recap-episode-2-management-sucks/,"1,138","1,095",0:04:17,"1,043",93.67%,91.21%,$0.00
/2020/06/04/hundreds-gather-at-ucla-to-protest-police-brutality-racial-injustice,"1,105","1,033",0:02:42,658,88.15%,71.13%,$0.00
/2020/05/05/killing-eve-season-3-recap-episode-4-still-got-it/,"1,076","1,033",0:04:19,986,93.91%,91.36%,$0.00
/2020/05/12/killing-eve-season-3-recap-episode-5-are-you-from-pinner/,"1,074","1,041",0:03:41,986,93.91%,92.27%,$0.00
/2020/03/09/cronin-sixth-ucla-mens-basketball-coach-to-receive-pac-12-coach-of-the-year-award/,"1,066","1,025",0:02:57,903,93.69%,87.90%,$0.00
/2020/03/08/student-learns-lessons-of-competition-in-process-of-auditioning-for-american-idol/,"1,055",961,0:03:01,823,91.86%,81.33%,$0.00
/2020/04/10/ucla-anderson-forecast-revises-projection-for-coronavirus-induced-recession/,"1,047",963,0:03:44,827,88.51%,81.66%,$0.00
/2020/04/24/the-study-at-hedrick-to-open-for-limited-hours-with-no-dining-options/,"1,041",978,0:01:47,842,89.07%,83.38%,$0.00
/2020/04/14/the-quad-a-look-at-how-italy-became-the-epicenter-of-the-coronavirus-pandemic/,"1,033",954,0:05:38,910,90.99%,88.09%,$0.00
/2020/04/14/election-board-sanctions-candidates-running-for-student-government/,"1,005",936,0:02:39,737,84.80%,74.33%,$0.00
/2020/05/14/alumnus-george-takei-announced-as-speaker-for-virtual-commencement-ceremony/,"1,003",946,0:01:58,846,89.36%,85.64%,$0.00
/2020/01/21/restaurant-review-sip-matchas-rebranding-as-junbi-brings-comfort-options-to-westwood/,996,955,0:05:45,950,94.00%,93.57%,$0.00
/2020/04/14/killing-eve-season-3-recap-episode-1-slowly-slowly-catchy-monkey/,994,950,0:04:59,891,94.16%,91.25%,$0.00
/2020/06/05/california-to-allow-qualifying-counties-to-open-schools-bars-gyms,979,935,0:01:58,864,90.51%,87.44%,$0.00
/2020/03/19/editorial-ucla-seniors-deserve-more-than-just-an-online-commencement/,977,927,0:02:32,676,87.28%,75.95%,$0.00
/2020/04/28/killing-eve-season-3-recap-episode-3-meetings-have-biscuits/,963,895,0:04:28,839,91.06%,87.23%,$0.00
/2020/04/13/international-students-share-experiences-in-self-quarantine-after-returning-home/,962,898,0:04:01,724,91.57%,80.77%,$0.00
/2020/05/02/usac-officer-evaluation-robert-watson/,959,845,0:02:26,600,81.83%,64.55%,$0.00
/2020/04/21/the-quad-tuition-a-la-zoom-may-not-be-worth-out-of-state-student-fees/,946,891,0:03:15,731,86.87%,79.49%,$0.00
/2020/05/28/ucpd-says-officers-in-twitter-video-did-not-harm-black-man-with-stun-gun/,930,827,0:03:22,660,85.76%,76.56%,$0.00
/2020/03/26/students-may-take-multiple-pass-no-pass-classes-in-the-spring-in-light-of-covid-19,928,882,0:04:21,869,90.79%,90.41%,$0.00
/2020/03/29/ucla-graduate-students-consider-striking-without-union-support/,922,867,0:03:12,725,90.48%,82.21%,$0.00
/2020/03/01/pop-up-taqueria-creates-unique-recipes-inspired-by-heavy-metal-evokes-nostalgia/,912,829,0:05:15,823,93.07%,89.47%,$0.00
/2020/04/04/three-more-test-positive-for-covid-19-in-ucla-community/,909,864,0:01:52,585,89.57%,77.01%,$0.00
/2020/06/21/the-quad-understanding-what-qualified-immunity-is-why-people-are-calling-for-reform,905,892,0:03:41,856,99.07%,96.80%,$0.00
/2020/05/12/la-official-announces-stay-at-home-orders-likely-to-be-extended-through-july/,903,859,0:02:53,662,89.43%,79.96%,$0.00
/2020/05/11/napolitano-recommends-suspending-sat-act-as-admissions-criteria-until-at-least-2024/,888,807,0:03:11,682,86.07%,78.60%,$0.00
/2020/03/06/ucla-cancels-study-abroad-programs-in-delayed-response-to-coronavirus/,879,833,0:02:45,748,88.64%,85.55%,$0.00
/2020/05/31/national-guard-troops-to-be-deployed-in-la-in-response-to-protests,879,811,0:02:01,613,81.73%,70.88%,$0.00
/2020/03/20/ucla-extends-payment-deadline-for-spring-tuition-suspends-course-materials-fees/,863,823,0:02:12,637,85.56%,77.98%,$0.00
/2020/04/29/mayor-eric-garcetti-announces-free-covid-19-testing-for-all-la-county-residents/,849,775,0:02:32,608,83.22%,75.50%,$0.00
/2020/02/20/ucla-experts-dispute-effectiveness-of-airport-screening-in-detecting-coronavirus/,830,780,0:03:30,759,93.54%,92.05%,$0.00
/2020/05/15/students-discuss-concerns-on-some-departments-not-yet-allowing-p-np-grading-for-credit/,827,798,0:03:02,589,91.51%,77.87%,$0.00
/2020/05/01/movie-review-the-half-of-it-offers-fresh-perspective-on-what-a-teenage-rom-com-can-be/,823,778,0:03:46,748,93.98%,90.89%,$0.00
/2020/06/10/pandemic-forces-incoming-students-to-alter-their-expectations-of-college-life,819,774,0:03:26,715,91.47%,87.18%,$0.00
/2020/04/04/professors-reorganize-students-adjust-to-first-week-of-online-classes/,816,759,0:03:19,588,86.56%,76.84%,$0.00
/2020/04/15/kyla-ross-receives-honda-sport-award-concluding-her-record-setting-bruin-career/,816,771,0:02:47,681,91.92%,84.44%,$0.00
/2020/06/08/asian-american-students-report-acts-of-racism-during-covid-19-pandemic,815,784,0:03:58,728,92.72%,89.08%,$0.00
/2020/04/17/second-take-cancellations-of-concerts-are-upsetting-enough-ticketmaster-shouldnt-make-it-worse/,804,766,0:03:34,723,93.22%,90.92%,$0.00
/2020/04/23/protestors-rally-against-stay-at-home-orders-at-la-city-hall-amid-pandemic/,801,772,0:03:22,682,92.96%,88.01%,$0.00
/2020/04/28/un-connon-opinions-rules-against-high-school-to-nba-jump-leave-talented-players-in-limbo/,796,769,0:03:50,612,93.79%,85.55%,$0.00
/2020/03/11/the-bachelor-season-24-recap-episodes-11-and-12/,791,740,0:03:27,719,90.96%,89.38%,$0.00
/2020/05/18/tv-review-rick-upstages-morty-in-the-vat-of-acid-episode-limiting-character-growth/,786,762,0:03:18,747,95.98%,94.15%,$0.00
/2020/03/12/pac-12-announces-cancelation-of-all-competition-in-light-of-covid-19/,782,729,0:02:43,592,88.68%,79.28%,$0.00
/2020/04/17/dance-marathon-2020-moves-online-with-a-focus-on-themes-of-unity-and-awareness/,782,768,0:04:13,719,98.61%,94.50%,$0.00
/2020/02/05/un-connon-opinions-josh-rosen-has-3-options-to-revamp-his-football-career-and-they-all-involve-a-trade/,780,729,0:06:02,701,92.15%,91.28%,$0.00
/2020/05/30/la-mayor-eric-garcetti-implements-curfew-in-response-to-demonstrations/,778,709,0:03:47,644,90.68%,86.12%,$0.00
/2020/04/24/movie-review-characters-relationship-makes-extraction-stand-out-among-action-movies/,777,736,0:04:07,713,93.41%,91.51%,$0.00
/2020/06/19/ucla-implements-covid-19-symptom-monitoring-survey-for-students-and-staff,736,693,0:02:43,599,89.48%,83.83%,$0.00
/2020/06/21/op-ed-ucla-must-take-action-to-address-academic-inequities-relating-to-pandemic-racism,733,692,0:02:50,648,90.59%,87.31%,$0.00
/2020/04/07/california-lottery-must-be-held-accountable-for-providing-public-school-funding/,730,683,0:01:56,641,92.51%,88.22%,$0.00
/2020/05/11/tv-review-7th-rick-and-morty-episode-fails-to-build-on-borrowed-sci-fi-plots/,726,694,0:04:52,665,93.23%,91.18%,$0.00
/2020/02/05/mens-basketball-gets-1st-california-recruit-in-4-star-shooting-guard-jaylen-clark/,725,665,0:03:19,622,84.73%,83.45%,$0.00
/2020/01/14/public-information-is-lacking-for-over-2-million-used-by-two-campus-committees/,724,670,0:05:09,482,75.93%,69.48%,$0.00
/2020/05/04/mom-son-reflect-on-bond-as-quarantine-throws-curveball-to-their-respective-teams/,722,661,0:04:22,551,90.56%,79.92%,$0.00
/2020/04/09/medical-students-mobilize-form-group-to-provide-free-services-to-health-care-workers/,718,660,0:04:05,550,90.36%,82.87%,$0.00
/2020/05/06/new-title-ix-rules-aim-to-strengthen-due-process-for-students-accused-of-sexual-misconduct/,718,664,0:02:40,515,85.44%,73.82%,$0.00
/2020/05/29/newsom-allows-los-angeles-restaurants-barbershops-hair-salons-to-open/,717,677,0:03:16,617,91.41%,88.28%,$0.00
/2020/06/15/uc-board-of-regents-unanimously-votes-in-support-of-restoring-affirmative-action,717,674,0:03:15,611,91.82%,87.17%,$0.00
/2020/03/27/temporary-shelters-open-across-la-to-house-homeless-in-novel-coronavirus-pandemic/,702,653,0:02:27,558,90.68%,84.47%,$0.00
/2020/03/12/ucla-mens-basketball-to-face-california-in-quarterfinals-of-pac-12-tournament/,699,659,0:02:20,570,90.35%,83.83%,$0.00
/2020/04/23/columns-from-quarantine-the-hardships-and-heartache-of-love-under-lockdown/,699,642,0:03:23,564,85.64%,79.83%,$0.00
/2020/05/08/guerrero-to-take-over-as-usiusf-president-after-retiring-as-ucla-athletics-director/,696,650,0:02:49,474,91.35%,78.74%,$0.00
/2020/06/01/gallery-protesters-gather-in-westwood-to-speak-out-against-racial-injustice,693,645,0:02:52,441,88.66%,71.86%,$0.00
/2020/05/11/qa-sophia-james-discusses-experiences-musical-journey-on-american-idol/,692,657,0:03:29,622,92.77%,89.88%,$0.00
/2020/05/05/alumna-brightens-up-pandemic-with-affordable-colorful-masks/,685,579,0:03:48,515,83.30%,76.50%,$0.00
/2020/05/15/ucla-is-falling-to-usc-again-this-time-in-providing-safe-student-transportation/,685,651,0:02:25,456,84.43%,71.53%,$0.00
/2020/03/15/ucla-recreation-facilities-to-close-indefinitely-over-covid-19-concerns/,682,635,0:01:50,486,82.92%,74.19%,$0.00
/2020/03/02/uc-san-diego-considers-joining-berkeley-merced-in-adopting-semester-system/,677,651,0:03:34,559,94.63%,89.22%,$0.00
/2020/04/21/former-mens-soccer-coach-jorge-salcedo-to-plead-guilty-to-racketeering-charges/,677,634,0:02:56,483,88.20%,78.88%,$0.00
